id,status,category,subcategory,topic,description,formula,variables_json,nice_numbers_json,answer_template,related_image,sidebar_position,completed_at
1,pending,physics,kinematics,projectile-motion,"Animate a ball launched at an angle showing how horizontal range changes with launch angle and initial velocity. Sliders for initial velocity and launch angle. Show the curved trajectory arc in real time.",,,,,,1,
2,pending,physics,kinematics,projectile-motion,"Same setup as exercise 1 but focus on maximum height reached. Show how max height scales with initial vertical velocity. Slider for initial velocity and launch angle. Animate the ball reaching the peak.",,,,,,2,
3,pending,physics,dynamics,newtons-second-law,"Show how net force affects acceleration for a box on a frictionless surface. Sliders for mass and applied force. Animate the box accelerating across the screen proportional to the computed acceleration.",F = ma,,,,,,3,
4,pending,physics,waves,wave-speed,"Visualize a traveling sinusoidal wave. Sliders for frequency and wavelength. Animate the wave moving and update the computed wave speed in real time. Show how compressing wavelength at fixed speed raises frequency.",v = fλ,,,,,,4,
5,pending,physics,optics,snells-law,"Show a light ray crossing a boundary between two materials. Sliders for the incident angle and both refractive indices. Animate the bent refracted ray and show the refraction angle updating live.",,,,,,5,
6,pending,physics,thermodynamics,ideal-gas-law,"Interactive PV=nRT explorer. Sliders for moles, temperature, and volume. Show how changing one variable while holding others fixed affects pressure. Animate a piston compressing a gas.",,,,,,6,
7,pending,math,algebra,quadratic-formula,"Visualize the parabola ax²+bx+c and its roots. Sliders for a, b, c. Animate the parabola shape and mark the two roots on the x-axis. Show discriminant value and whether roots are real.",x = (-b ± √(b²-4ac)) / 2a,,,,,,7,
8,pending,math,trigonometry,unit-circle,"Animate a point moving around the unit circle as angle θ changes. Slider for θ from 0 to 360°. Show the x=cosθ and y=sinθ projections updating live. Highlight the key angles 30/45/60/90.",,,,,,8,
9,pending,math,calculus,derivative-power-rule,"Show the graph of ax^n and its derivative nax^(n-1). Sliders for coefficient a and exponent n. Animate a tangent line dragging along the curve as x changes, slope updating in real time.",d/dx[axⁿ] = naxⁿ⁻¹,,,,,,9,
10,pending,math,statistics,normal-distribution,"Show the bell curve shape. Sliders for mean μ and standard deviation σ. Animate the curve shifting and narrowing/widening. Shade the ±1σ, ±2σ, ±3σ regions with the 68-95-99.7 rule labels.",,,,,,10,
